id1,total_observations,suspicious_count,suspicious_percentage
ID001,2173,0,0.0
ID002,2173,13,0.6
ID003,2173,17,0.78
ID004,2173,12,0.55
ID005,2173,0,0.0
ID006,2173,0,0.0
ID007,2173,16,0.74
ID008,2173,12,0.55
ID009,2173,0,0.0
ID010,2173,18,0.83
ID011,2173,0,0.0
ID012,2173,43,1.98
ID013,2173,0,0.0
ID014,2173,9,0.41
ID015,2173,22,1.01
ID016,2173,19,0.87
ID017,2173,2108,97.01
ID018,2173,27,1.24
ID019,2173,0,0.0
ID020,2173,19,0.87
ID021,2173,0,0.0
ID022,2173,2165,99.63
ID023,2173,16,0.74
ID024,2173,0,0.0
ID025,2173,20,0.92
ID026,2173,25,1.15
ID027,2173,9,0.41
ID028,2173,15,0.69
ID029,2173,0,0.0
ID030,2173,0,0.0
